Item,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Fiber (g),Sugars (g),Protein (g)
Chicken,4 oz,180,7.0,2.0,130,310,0,0,0,32
Steak,4 oz,150,6.0,2.5,70,320,1,0,0,21
Barbacoa,4 oz,170,7.0,2.5,60,530,2,0,0,24
Carnitas,4 oz,210,12.0,7.0,65,450,0,0,0,23
Sofritas,4 oz,150,10.0,1.5,0,555,9,3,1,8
White Rice,4 oz,210,4.0,0.5,0,350,40,0,0,4
Brown Rice,4 oz,210,7.0,1.0,0,360,36,2,0,4
Black Beans,4 oz,130,2.0,0.0,0,210,22,8,1,8
Pinto Beans,4 oz,130,2.0,0.0,0,210,21,7,1,8
Roasted Chili-Corn Salsa,3.5 oz,80,2.5,0.0,0,330,13,2,5,2
Cheese,1 oz,110,9.0,6.0,30,180,1,0,0,6
Sour Cream,2 oz,110,9.0,7.0,30,30,2,0,2,2
Guacamole,4 oz,230,22.0,3.0,0,370,8,6,1,2
Queso Blanco,2 oz,120,9.0,6.0,30,430,4,0,1,5
Fajita Vegetables,2.5 oz,20,0.5,0.0,0,200,4,1,2,1
Fresh Tomato Salsa,3.5 oz,25,0.0,0.0,0,210,5,1,3,0
Tomatillo Green-Chili Salsa,2 oz,15,0.0,0.0,0,260,4,1,2,0
Tomatillo Red-Chili Salsa,2 oz,30,0.0,0.0,0,500,4,1,2,1
Romaine Lettuce,1.5 oz,5,0.0,0.0,0,0,1,1,0,0
Flour Tortilla (Burrito),4.5 oz,320,9.0,3.5,0,600,50,3,0,8
Flour Tortilla (Taco),1 oz,94,3.0,1.5,0,200,15,1,0,2
Crispy Corn Tortilla,0.4 oz,67,3.0,0.3,0,30,9,1,0,1
Chips,4 oz,540,25.0,3.5,0,420,73,6,0,7
Chips & Guacamole,8 oz,770,47.0,7.0,0,750,81,12,1,9
Guacamole (Side),2 oz,230,22.0,3.0,0,370,8,6,1,2
Queso Blanco (Side),4 oz,240,18.0,12.0,65,870,8,0,2,9
